Entity,Day,Total confirmed deaths due to COVID-19 per million people
Brazil,2020-01-04,0
Brazil,2020-01-05,0
Brazil,2020-01-06,0
Brazil,2020-01-07,0
Brazil,2020-01-08,0
Brazil,2020-01-09,0
Brazil,2020-01-10,0
Brazil,2020-01-11,0
Brazil,2020-01-12,0
Brazil,2020-01-13,0
Brazil,2020-01-14,0
Brazil,2020-01-15,0
Brazil,2020-01-16,0
Brazil,2020-01-17,0
Brazil,2020-01-18,0
Brazil,2020-01-19,0
Brazil,2020-01-20,0
Brazil,2020-01-21,0
Brazil,2020-01-22,0
Brazil,2020-01-23,0
Brazil,2020-01-24,0
Brazil,2020-01-25,0
Brazil,2020-01-26,0
Brazil,2020-01-27,0
Brazil,2020-01-28,0
Brazil,2020-01-29,0
Brazil,2020-01-30,0
Brazil,2020-01-31,0
Brazil,2020-02-01,0
Brazil,2020-02-02,0
Brazil,2020-02-03,0
Brazil,2020-02-04,0
Brazil,2020-02-05,0
Brazil,2020-02-06,0
Brazil,2020-02-07,0
Brazil,2020-02-08,0
Brazil,2020-02-09,0
Brazil,2020-02-10,0
Brazil,2020-02-11,0
Brazil,2020-02-12,0
Brazil,2020-02-13,0
Brazil,2020-02-14,0
Brazil,2020-02-15,0
Brazil,2020-02-16,0
Brazil,2020-02-17,0
Brazil,2020-02-18,0
Brazil,2020-02-19,0
Brazil,2020-02-20,0
Brazil,2020-02-21,0
Brazil,2020-02-22,0
Brazil,2020-02-23,0
Brazil,2020-02-24,0
Brazil,2020-02-25,0
Brazil,2020-02-26,0
Brazil,2020-02-27,0
Brazil,2020-02-28,0
Brazil,2020-02-29,0
Brazil,2020-03-01,0
Brazil,2020-03-02,0
Brazil,2020-03-03,0
Brazil,2020-03-04,0
Brazil,2020-03-05,0
Brazil,2020-03-06,0
Brazil,2020-03-07,0
Brazil,2020-03-08,0
Brazil,2020-03-09,0
Brazil,2020-03-10,0
Brazil,2020-03-11,0
Brazil,2020-03-12,0
Brazil,2020-03-13,0
Brazil,2020-03-14,0
Brazil,2020-03-15,0
Brazil,2020-03-16,0
Brazil,2020-03-17,0
Brazil,2020-03-18,0
Brazil,2020-03-19,0.004754968
Brazil,2020-03-20,0.019019872
Brazil,2020-03-21,0.019019872
Brazil,2020-03-22,0.052304648
Brazil,2020-03-23,0.052304648
Brazil,2020-03-24,0.1188742
Brazil,2020-03-25,0.16166891
Brazil,2020-03-26,0.21872853
Brazil,2020-03-27,0.27103317
Brazil,2020-03-28,0.36613253
Brazil,2020-03-29,0.43745705
Brazil,2020-03-30,0.54206634
Brazil,2020-03-31,0.64667565
Brazil,2020-04-01,0.7560399
Brazil,2020-04-02,0.95574856
Brazil,2020-04-03,1.1459473
Brazil,2020-04-04,1.4217354
Brazil,2020-04-05,1.7070335
Brazil,2020-04-06,2.0541463
Brazil,2020-04-07,2.3109145
Brazil,2020-04-08,2.6294973
Brazil,2020-04-09,3.1715636
Brazil,2020-04-10,3.8039744
Brazil,2020-04-11,4.474425
Brazil,2020-04-12,5.0212464
Brazil,2020-04-13,5.344584
Brazil,2020-04-14,5.8153257
Brazil,2020-04-15,6.3145976
Brazil,2020-04-16,7.2846107
Brazil,2020-04-17,8.254624
Brazil,2020-04-18,9.148559
Brazil,2020-04-19,10.180387
Brazil,2020-04-20,11.15991
Brazil,2020-04-21,11.706731
Brazil,2020-04-22,12.244042
Brazil,2020-04-23,13.033367
Brazil,2020-04-24,13.817937
Brazil,2020-04-25,15.753209
Brazil,2020-04-26,17.450733
Brazil,2020-04-27,19.095951
Brazil,2020-04-28,19.99464
