Entity,Day,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Year
Canada,2020-02-15,4.0,2.0,10.0,3.0,1.0,0.0,2020
Canada,2020-02-16,13.0,8.0,41.0,4.0,0.0,-2.0,2020
Canada,2020-02-17,-12.0,-15.0,63.0,-28.0,-52.0,11.0,2020
Canada,2020-02-18,-1.0,4.0,6.0,-1.0,-1.0,1.0,2020
Canada,2020-02-19,1.0,1.0,9.0,0.0,0.0,0.0,2020
Canada,2020-02-20,6.0,4.0,14.0,-1.0,1.0,0.0,2020
Canada,2020-02-21,2.0,-1.0,10.0,-1.0,-3.0,1.0,2020
Canada,2020-02-22,8.0,5.0,28.0,6.0,6.0,-1.0,2020
Canada,2020-02-23,10.0,6.0,36.0,5.0,5.0,-1.0,2020
Canada,2020-02-24,3.0,2.0,19.0,-1.0,3.0,0.0,2020
Canada,2020-02-25,2.0,5.0,9.0,0.0,3.0,0.0,2020
Canada,2020-02-26,-2.0,2.0,1.0,-2.0,1.0,1.0,2020
Canada,2020-02-27,-8.0,-9.0,-6.0,-5.0,-5.0,4.0,2020
Canada,2020-02-28,-1.0,1.0,-5.0,1.0,0.0,1.0,2020
Canada,2020-02-29,7.0,7.0,11.0,6.0,7.0,0.0,2020
Canada,2020-03-01,10.0,9.0,23.0,6.0,5.0,-1.0,2020
Canada,2020-03-02,3.0,3.0,1.0,-2.0,-1.0,1.0,2020
Canada,2020-03-03,4.0,6.0,8.0,-2.0,0.0,0.0,2020
Canada,2020-03-04,5.0,4.0,11.0,0.0,-1.0,1.0,2020
Canada,2020-03-05,7.0,5.0,18.0,-1.0,-2.0,1.0,2020
Canada,2020-03-06,1.0,-1.0,6.0,-3.0,-1.0,1.0,2020
Canada,2020-03-07,6.0,5.0,17.0,3.0,6.0,0.0,2020
Canada,2020-03-08,9.0,7.0,50.0,3.0,4.0,0.0,2020
Canada,2020-03-09,4.0,4.0,31.0,-3.0,2.0,1.0,2020
Canada,2020-03-10,-1.0,1.0,-2.0,-6.0,1.0,1.0,2020
Canada,2020-03-11,3.0,7.0,12.0,-3.0,2.0,1.0,2020
Canada,2020-03-12,7.0,27.0,11.0,-6.0,2.0,1.0,2020
Canada,2020-03-13,-5.0,35.0,-16.0,-17.0,-6.0,5.0,2020
Canada,2020-03-14,-11.0,19.0,-8.0,-19.0,-1.0,5.0,2020
Canada,2020-03-15,-12.0,11.0,28.0,-22.0,-5.0,4.0,2020
Canada,2020-03-16,-12.0,23.0,15.0,-37.0,-27.0,10.0,2020
Canada,2020-03-17,-27.0,13.0,7.0,-45.0,-35.0,14.0,2020
Canada,2020-03-18,-33.0,7.0,14.0,-48.0,-40.0,16.0,2020
Canada,2020-03-19,-36.0,4.0,18.0,-52.0,-43.0,17.0,2020
Canada,2020-03-20,-44.0,-5.0,-8.0,-54.0,-45.0,20.0,2020
Canada,2020-03-21,-49.0,-12.0,11.0,-49.0,-32.0,13.0,2020
Canada,2020-03-22,-51.0,-21.0,4.0,-54.0,-35.0,11.0,2020
Canada,2020-03-23,-45.0,-13.0,-27.0,-63.0,-51.0,20.0,2020
Canada,2020-03-24,-49.0,-15.0,-10.0,-64.0,-55.0,22.0,2020
Canada,2020-03-25,-53.0,-21.0,1.0,-65.0,-59.0,23.0,2020
