Entity,Day,Case fatality rate of COVID-19 (%),Year
Brazil,2020-02-27,0.0,2020
Brazil,2020-02-28,0.0,2020
Brazil,2020-02-29,0.0,2020
Brazil,2020-03-01,0.0,2020
Brazil,2020-03-02,0.0,2020
Brazil,2020-03-03,0.0,2020
Brazil,2020-03-04,0.0,2020
Brazil,2020-03-05,0.0,2020
Brazil,2020-03-06,0.0,2020
Brazil,2020-03-07,0.0,2020
Brazil,2020-03-08,0.0,2020
Brazil,2020-03-09,0.0,2020
Brazil,2020-03-10,0.0,2020
Brazil,2020-03-11,0.0,2020
Brazil,2020-03-12,0.0,2020
Brazil,2020-03-13,0.0,2020
Brazil,2020-03-14,0.0,2020
Brazil,2020-03-15,0.0,2020
Brazil,2020-03-16,0.0,2020
Brazil,2020-03-17,0.0,2020
Brazil,2020-03-18,0.0,2020
Brazil,2020-03-19,0.34364262,2020
Brazil,2020-03-20,0.93457943,2020
Brazil,2020-03-21,0.93457943,2020
Brazil,2020-03-22,1.2168142,2020
Brazil,2020-03-23,1.2168142,2020
Brazil,2020-03-24,1.6170763,2020
Brazil,2020-03-25,1.7979904,2020
Brazil,2020-03-26,2.0899591,2020
Brazil,2020-03-27,2.3427868,2020
Brazil,2020-03-28,2.6415095,2020
Brazil,2020-03-29,2.6924202,2020
Brazil,2020-03-30,2.9208302,2020
Brazil,2020-03-31,3.1954887,2020
Brazil,2020-04-01,3.472374,2020
Brazil,2020-04-02,3.51583,2020
Brazil,2020-04-03,3.5254536,2020
Brazil,2020-04-04,3.7800252,2020
Brazil,2020-04-05,3.9642227,2020
Brazil,2020-04-06,4.203152,2020
Brazil,2020-04-07,4.3665767,2020
Brazil,2020-04-08,4.586928,2020
Brazil,2020-04-09,4.8625793,2020
Brazil,2020-04-10,5.0229173,2020
Brazil,2020-04-11,5.2696424,2020
Brazil,2020-04-12,5.37733,2020
Brazil,2020-04-13,5.4228783,2020
Brazil,2020-04-14,5.5167127,2020
Brazil,2020-04-15,5.6679473,2020
Brazil,2020-04-16,6.0644445,2020
Brazil,2020-04-17,6.1299434,2020
Brazil,2020-04-18,6.3237467,2020
Brazil,2020-04-19,6.356511,2020
Brazil,2020-04-20,6.4127436,2020
Brazil,2020-04-21,6.369328,2020
Brazil,2020-04-22,6.345334,2020
Brazil,2020-04-23,6.362729,2020
Brazil,2020-04-24,6.3509407,2020
Brazil,2020-04-25,6.694011,2020
Brazil,2020-04-26,6.9251814,2020
Brazil,2020-04-27,6.863901,2020
Brazil,2020-04-28,6.794532,2020
Brazil,2020-04-29,6.831476,2020
Brazil,2020-04-30,6.979106,2020
Brazil,2020-05-01,6.993168,2020
Brazil,2020-05-02,6.9114547,2020
Brazil,2020-05-03,6.9102182,2020
Brazil,2020-05-04,6.990545,2020
Brazil,2020-05-05,6.945337,2020
Brazil,2020-05-06,6.7925406,2020
Brazil,2020-05-07,6.904938,2020
Brazil,2020-05-08,6.816911,2020
Brazil,2020-05-09,6.7694993,2020
Brazil,2020-05-10,6.8101125,2020
Brazil,2020-05-11,6.814844,2020
Brazil,2020-05-12,6.8365507,2020
Brazil,2020-05-13,6.8430653,2020
Brazil,2020-05-14,6.9824142,2020
Brazil,2020-05-15,6.9581,2020
Brazil,2020-05-16,6.895889,2020
Brazil,2020-05-17,6.7898436,2020
Brazil,2020-05-18,6.7053556,2020
Brazil,2020-05-19,6.6857476,2020
Brazil,2020-05-20,6.6053023,2020
Brazil,2020-05-21,6.6160336,2020
Brazil,2020-05-22,6.467887,2020
Brazil,2020-05-23,6.4649596,2020
Brazil,2020-05-24,6.3610263,2020
Brazil,2020-05-25,6.3365364,2020
Brazil,2020-05-26,6.24045,2020
Brazil,2020-05-27,6.26117,2020
Brazil,2020-05-28,6.2654963,2020
Brazil,2020-05-29,6.2158074,2020
Brazil,2020-05-30,6.104902,2020
Brazil,2020-05-31,5.9931293,2020
Brazil,2020-06-01,5.7848487,2020
Brazil,2020-06-02,5.6937084,2020
Brazil,2020-06-03,5.686612,2020
Brazil,2020-06-04,5.6175647,2020
Brazil,2020-06-05,5.573135,2020
Brazil,2020-06-06,5.5324006,2020
Brazil,2020-06-07,5.423904,2020
Brazil,2020-06-08,5.3400035,2020
Brazil,2020-06-09,5.2699065,2020
Brazil,2020-06-10,5.2492747,2020
Brazil,2020-06-11,5.193488,2020
Brazil,2020-06-12,5.1371284,2020
Brazil,2020-06-13,5.0968575,2020
Brazil,2020-06-14,5.046754,2020
Brazil,2020-06-15,5.022845,2020
Brazil,2020-06-16,4.9943295,2020
Brazil,2020-06-17,4.9488277,2020
Brazil,2020-06-18,4.900513,2020
Brazil,2020-06-19,4.868235,2020
Brazil,2020-06-20,4.8815,2020
Brazil,2020-06-21,4.739412,2020
Brazil,2020-06-22,4.6812463,2020
Brazil,2020-06-23,4.664998,2020
Brazil,2020-06-24,4.633745,2020
Brazil,2020-06-25,4.5941815,2020
Brazil,2020-06-26,4.5287395,2020
Brazil,2020-06-27,4.4760504,2020
Brazil,2020-06-28,4.3891873,2020
Brazil,2020-06-29,4.344328,2020
Brazil,2020-06-30,4.2868953,2020
Brazil,2020-07-01,4.2621117,2020
Brazil,2020-07-02,4.250518,2020
Brazil,2020-07-03,4.1851163,2020
Brazil,2020-07-04,4.1342597,2020
Brazil,2020-07-05,4.104657,2020
Brazil,2020-07-06,4.0751324,2020
Brazil,2020-07-07,4.046461,2020
Brazil,2020-07-08,4.0342293,2020
Brazil,2020-07-09,3.9998465,2020
Brazil,2020-07-10,3.9671717,2020
Brazil,2020-07-11,3.9403594,2020
Brazil,2020-07-12,3.909204,2020
Brazil,2020-07-13,3.8845015,2020
Brazil,2020-07-14,3.8666131,2020
Brazil,2020-07-15,3.8638873,2020
Brazil,2020-07-16,3.8474193,2020
Brazil,2020-07-17,3.832011,2020
Brazil,2020-07-18,3.8112447,2020
Brazil,2020-07-19,3.8044243,2020
Brazil,2020-07-20,3.796497,2020
Brazil,2020-07-21,3.7880487,2020
Brazil,2020-07-22,3.7816606,2020
Brazil,2020-07-23,3.7731507,2020
Brazil,2020-07-24,3.7158465,2020
Brazil,2020-07-25,3.675756,2020
Brazil,2020-07-26,3.6374173,2020
Brazil,2020-07-27,3.6102958,2020
Brazil,2020-07-28,3.5965576,2020
Brazil,2020-07-29,3.5874097,2020
Brazil,2020-07-30,3.5655332,2020
Brazil,2020-07-31,3.53153,2020
Brazil,2020-08-01,3.49653,2020
Brazil,2020-08-02,3.473259,2020
Brazil,2020-08-03,3.455216,2020
Brazil,2020-08-04,3.4423964,2020
Brazil,2020-08-05,3.4419656,2020
Brazil,2020-08-06,3.419761,2020
Brazil,2020-08-07,3.401662,2020
Brazil,2020-08-08,3.3820684,2020
Brazil,2020-08-09,3.361146,2020
Brazil,2020-08-10,3.3354335,2020
Brazil,2020-08-11,3.3289936,2020
Brazil,2020-08-12,3.3279803,2020
Brazil,2020-08-13,3.3131273,2020
Brazil,2020-08-14,3.2925143,2020
Brazil,2020-08-15,3.2702963,2020
Brazil,2020-08-16,3.2520943,2020
Brazil,2020-08-17,3.2327073,2020
Brazil,2020-08-18,3.2289114,2020
Brazil,2020-08-19,3.2306516,2020
Brazil,2020-08-20,3.2250245,2020
Brazil,2020-08-21,3.2140927,2020
Brazil,2020-08-22,3.206876,2020
