Entity,Day,"COVID-19 doses (cumulative, per hundred)","People vaccinated (cumulative, per hundred)","People fully vaccinated (cumulative, per hundred)","Booster doses (cumulative, per hundred)",Year
Brazil,2022-06-17,213.58699,87.693214,80.00041,48.41516,2022
Brazil,2022-06-18,213.63672,87.69675,80.00835,48.453583,2022
Brazil,2022-06-19,213.65944,87.697655,80.01287,48.470913,2022
Brazil,2022-06-20,213.8769,87.708435,80.05714,48.63361,2022
Brazil,2022-06-21,214.13641,87.721176,80.0744,48.863575,2022
Brazil,2022-06-22,214.37666,87.73356,80.11172,49.054436,2022
Brazil,2022-06-23,214.5804,87.747215,80.14382,49.212746,2022
Brazil,2022-06-24,214.75404,87.75433,80.154175,49.369522,2022
Brazil,2022-06-25,214.75603,87.755104,80.15464,49.370277,2022
Brazil,2022-06-26,214.8237,87.75662,80.15825,49.43289,2022
Brazil,2022-06-27,215.02844,87.76465,80.170975,49.617542,2022
Brazil,2022-06-29,216.24203,87.80645,80.31215,50.652817,2022
Brazil,2022-06-30,216.28171,87.816124,80.32284,50.67234,2022
Brazil,2022-07-01,216.58861,87.84191,80.39251,50.885704,2022
Brazil,2022-07-02,216.69356,87.847305,80.407974,50.96998,2022
Brazil,2022-07-03,216.8746,87.85497,80.42751,51.124176,2022
Brazil,2022-07-04,217.25595,87.86535,80.44863,51.47925,2022
Brazil,2022-07-05,217.41644,87.875626,80.46862,51.609707,2022
Brazil,2022-07-07,217.79843,87.902245,80.517975,51.916355,2022
Brazil,2022-07-09,217.98659,87.91289,80.54764,52.064644,2022
Brazil,2022-07-10,218.02615,87.91407,80.5528,52.097927,2022
Brazil,2022-07-11,218.56113,87.92062,80.57302,52.606316,2022
Brazil,2022-07-13,218.75294,87.93014,80.6055,52.7565,2022
Brazil,2022-07-14,219.2748,87.943924,80.64533,53.22502,2022
Brazil,2022-07-16,219.43864,87.95454,80.67838,53.345478,2022
Brazil,2022-07-17,219.47417,87.95589,80.68253,53.375553,2022
Brazil,2022-07-24,221.2577,88.06595,80.914505,11.991503,2022
Brazil,2022-08-08,221.40088,88.36372,81.233765,54.361706,2022
Brazil,2022-08-09,221.50703,88.37432,81.28282,54.40911,2022
Brazil,2022-08-10,221.60403,88.391304,81.30194,54.47308,2022
Brazil,2022-08-11,221.80238,88.40462,81.30946,54.651024,2022
Brazil,2022-08-12,221.98575,88.43085,81.350075,54.768192,2022
Brazil,2022-08-14,222.05841,88.43931,81.36303,54.819557,2022
Brazil,2022-08-15,222.11395,88.449135,81.37898,54.84966,2022
Brazil,2022-08-18,222.62593,88.49016,81.44583,55.26361,2022
Brazil,2022-08-19,222.64674,88.49581,81.45203,55.272617,2022
