Entity,Day,Total confirmed cases of COVID-19 per million people,Year
Brazil,2023-01-01,172754.08,2023
Brazil,2023-01-02,172754.08,2023
Brazil,2023-01-03,172754.08,2023
Brazil,2023-01-04,172901.89,2023
Brazil,2023-01-05,173035.3,2023
Brazil,2023-01-06,173190.86,2023
Brazil,2023-01-07,173322.44,2023
Brazil,2023-01-08,173447.98,2023
Brazil,2023-01-09,173501.11,2023
Brazil,2023-01-10,173509.02,2023
Brazil,2023-01-11,173610.0,2023
Brazil,2023-01-12,173805.64,2023
Brazil,2023-01-13,173931.33,2023
Brazil,2023-01-14,174022.02,2023
Brazil,2023-01-15,174022.02,2023
Brazil,2023-01-16,174149.34,2023
Brazil,2023-01-17,174165.44,2023
Brazil,2023-01-18,174225.77,2023
Brazil,2023-01-19,174341.12,2023
Brazil,2023-01-20,174401.97,2023
Brazil,2023-01-21,174501.97,2023
Brazil,2023-01-22,174568.44,2023
Brazil,2023-01-23,174590.55,2023
Brazil,2023-01-24,174593.17,2023
Brazil,2023-01-25,174654.31,2023
Brazil,2023-01-26,174751.78,2023
Brazil,2023-01-27,174833.88,2023
Brazil,2023-01-28,174888.33,2023
Brazil,2023-01-29,174941.3,2023
Brazil,2023-01-30,174953.23,2023
Brazil,2023-01-31,174955.53,2023
Brazil,2023-02-01,175019.98,2023
Brazil,2023-02-02,175099.7,2023
Brazil,2023-02-03,175163.23,2023
Brazil,2023-02-04,175258.2,2023
Brazil,2023-02-05,175299.78,2023
Brazil,2023-02-06,175307.2,2023
Brazil,2023-02-07,175310.66,2023
Brazil,2023-02-08,175357.39,2023
Brazil,2023-02-09,175401.22,2023
Brazil,2023-02-10,175495.83,2023
Brazil,2023-02-11,175542.11,2023
Brazil,2023-02-12,175602.58,2023
Brazil,2023-02-13,175613.0,2023
Brazil,2023-02-14,175614.42,2023
Brazil,2023-02-15,175712.67,2023
Brazil,2023-02-16,175712.67,2023
Brazil,2023-02-17,175747.84,2023
Brazil,2023-02-18,175793.61,2023
Brazil,2023-02-19,175875.25,2023
Brazil,2023-02-20,175883.28,2023
Brazil,2023-02-21,175885.58,2023
Brazil,2023-02-22,175887.56,2023
Brazil,2023-02-23,175896.52,2023
Brazil,2023-02-24,175921.11,2023
