Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)","Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)",Year
Brazil,2022-06-17,201.06178,0.7105281,2022
Brazil,2022-06-18,192.816,0.71596235,2022
Brazil,2022-06-19,173.91907,0.6493928,2022
Brazil,2022-06-20,168.70966,0.63580716,2022
Brazil,2022-06-21,168.00525,0.64871347,2022
Brazil,2022-06-22,174.86531,0.6663748,2022
Brazil,2022-06-23,188.39726,0.7037353,2022
Brazil,2022-06-24,189.49498,0.56855834,2022
Brazil,2022-06-25,216.06506,0.71392447,2022
Brazil,2022-06-26,237.60643,0.8918961,2022
Brazil,2022-06-27,250.28589,0.9231431,2022
Brazil,2022-06-28,254.35342,0.9102367,2022
Brazil,2022-06-29,255.3085,0.93129444,2022
Brazil,2022-06-30,263.64734,0.9903919,2022
Brazil,2022-07-01,266.37738,1.0834534,2022
Brazil,2022-07-02,268.47635,1.0331867,2022
Brazil,2022-07-03,279.1146,0.9992226,2022
Brazil,2022-07-04,278.4292,1.0114496,2022
Brazil,2022-07-05,279.7171,1.0229974,2022
Brazil,2022-07-06,275.52118,1.019601,2022
Brazil,2022-07-07,274.1307,1.0739435,2022
Brazil,2022-07-08,274.9737,1.1310031,2022
Brazil,2022-07-09,272.8754,1.1255689,2022
Brazil,2022-07-10,269.52585,1.1133418,2022
Brazil,2022-07-11,273.51526,1.1520609,2022
Brazil,2022-07-12,260.8976,1.116059,2022
Brazil,2022-07-13,274.8263,1.17176,2022
Brazil,2022-07-14,267.6646,1.1364373,2022
Brazil,2022-07-15,264.30762,1.1493437,2022
Brazil,2022-07-16,259.77612,1.1588537,2022
Brazil,2022-07-17,284.80423,1.1894213,2022
Brazil,2022-07-18,282.42133,1.1826285,2022
Brazil,2022-07-19,289.79288,1.219989,2022
Brazil,2022-07-20,271.2424,1.1955348,2022
Brazil,2022-07-21,267.13342,1.2016484,2022
Brazil,2022-07-22,256.4388,1.1785527,2022
Brazil,2022-07-23,246.96556,1.1595329,2022
Brazil,2022-07-24,173.63106,0.94827646,2022
Brazil,2022-07-25,197.85217,1.1085868,2022
Brazil,2022-07-26,197.1532,1.0963597,2022
Brazil,2022-07-27,191.65918,1.1038319,2022
Brazil,2022-07-28,178.01581,1.1024733,2022
Brazil,2022-07-29,169.88753,1.0780191,2022
Brazil,2022-07-30,165.24057,1.075302,2022
Brazil,2022-07-31,193.57542,1.2410467,2022
Brazil,2022-08-01,157.62991,1.0589993,2022
Brazil,2022-08-02,164.75557,1.0528858,2022
Brazil,2022-08-03,158.95111,1.06783,2022
Brazil,2022-08-04,156.60759,1.0297902,2022
Brazil,2022-08-05,149.21632,0.9992226,2022
Brazil,2022-08-06,146.3912,0.99650544,2022
Brazil,2022-08-07,138.41847,0.98156124,2022
Brazil,2022-08-08,134.21645,0.9869955,2022
Brazil,2022-08-09,125.30767,1.0066947,2022
Brazil,2022-08-10,122.145615,0.98563695,2022
Brazil,2022-08-11,119.26275,1.0331867,2022
Brazil,2022-08-12,117.430046,1.0263938,2022
Brazil,2022-08-13,108.74272,0.99854326,2022
Brazil,2022-08-14,104.37902,1.0155253,2022
Brazil,2022-08-15,105.07392,0.99242973,2022
Brazil,2022-08-16,103.19299,0.9788441,2022
Brazil,2022-08-17,96.77039,0.94488007,2022
Brazil,2022-08-18,91.89315,0.83687437,2022
Brazil,2022-08-19,85.774185,0.8314401,2022
Brazil,2022-08-20,82.053764,0.82193017,2022
Brazil,2022-08-21,78.868614,0.75060564,2022
Brazil,2022-08-22,77.389145,0.7485678,2022
Brazil,2022-08-23,77.83067,0.7553606,2022
Brazil,2022-08-24,76.65144,0.7567192,2022
Brazil,2022-08-25,74.75014,0.75468135,2022
Brazil,2022-08-26,72.27076,0.7241137,2022
Brazil,2022-08-27,71.50453,0.6908289,2022
Brazil,2022-08-28,71.101715,0.7057731,2022
Brazil,2022-08-29,68.95383,0.6589027,2022
Brazil,2022-08-30,67.84864,0.6419207,2022
Brazil,2022-08-31,72.08735,0.6459964,2022
Brazil,2022-09-01,69.75402,0.66365767,2022
Brazil,2022-09-02,68.099976,0.60388094,2022
Brazil,2022-09-03,63.8762,0.62086296,2022
Brazil,2022-09-04,59.25777,0.5875782,2022
Brazil,2022-09-05,58.80673,0.599126,2022
Brazil,2022-09-06,63.031857,0.63241076,2022
Brazil,2022-09-07,54.56937,0.5454627,2022
Brazil,2022-09-08,52.250305,0.49519596,2022
Brazil,2022-09-09,47.5293,0.45647693,2022
Brazil,2022-09-10,40.318733,0.39058664,2022
Brazil,2022-09-11,41.160362,0.3742839,2022
Brazil,2022-09-12,39.589184,0.3389613,2022
Brazil,2022-09-13,33.019176,0.29073232,2022
Brazil,2022-09-14,38.323685,0.32129997,2022
Brazil,2022-09-15,36.30486,0.28665665,2022
Brazil,2022-09-16,40.131252,0.32877207,2022
Brazil,2022-09-17,44.020134,0.32673422,2022
Brazil,2022-09-18,42.350464,0.33080992,2022
Brazil,2022-09-19,37.982006,0.32673422,2022
Brazil,2022-09-20,41.367542,0.35526404,2022
Brazil,2022-09-21,39.445854,0.360019,2022
Brazil,2022-09-22,38.305344,0.35050908,2022
Brazil,2022-09-23,33.315342,0.32809278,2022
Brazil,2022-09-24,32.48458,0.32197925,2022
Brazil,2022-09-25,30.799965,0.30567652,2022
Brazil,2022-09-26,33.237907,0.30431795,2022
Brazil,2022-09-27,30.685167,0.2914116,2022
Brazil,2022-09-28,31.424225,0.2764674,2022
Brazil,2022-09-29,31.11719,0.24657905,2022
Brazil,2022-09-30,31.411999,0.21940781,2022
Brazil,2022-10-01,31.977839,0.20446363,2022
Brazil,2022-10-02,32.671387,0.19427441,2022
Brazil,2022-10-03,32.276722,0.3206207,2022
Brazil,2022-10-04,32.13883,0.3498298,2022
Brazil,2022-10-05,31.410639,0.3640947,2022
Brazil,2022-10-06,30.784342,0.39602092,2022
Brazil,2022-10-07,30.450136,0.43881562,2022
Brazil,2022-10-08,29.550089,0.49451667,2022
Brazil,2022-10-09,28.946207,0.5210086,2022
Brazil,2022-10-10,27.521076,0.3994173,2022
Brazil,2022-10-11,27.153584,0.36069828,2022
Brazil,2022-10-12,26.94029,0.34371626,2022
Brazil,2022-10-13,26.928741,0.3389613,2022
Brazil,2022-10-14,25.565426,0.30771434,2022
Brazil,2022-10-15,22.166302,0.24657905,2022
Brazil,2022-10-16,21.278482,0.23163487,2022
Brazil,2022-10-17,20.142723,0.21125643,2022
Brazil,2022-10-18,20.073437,0.20650147,2022
Brazil,2022-10-19,20.650826,0.2486169,2022
Brazil,2022-10-20,21.284595,0.24657905,2022
Brazil,2022-10-21,23.54864,0.31043148,2022
Brazil,2022-10-22,24.721758,0.2812224,2022
Brazil,2022-10-23,23.217829,0.26016468,2022
Brazil,2022-10-24,22.736898,0.28054312,2022
Brazil,2022-10-25,23.590075,0.2846188,2022
Brazil,2022-10-26,26.301086,0.28733593,2022
Brazil,2022-10-27,24.760477,0.26084396,2022
Brazil,2022-10-28,24.287697,0.28801522,2022
Brazil,2022-10-29,26.491285,0.32537568,2022
Brazil,2022-10-30,28.247906,0.37564248,2022
Brazil,2022-10-31,28.474787,0.3566226,2022
Brazil,2022-11-01,27.90487,0.35186765,2022
Brazil,2022-11-02,24.073723,0.33352703,2022
Brazil,2022-11-03,25.616371,0.3457541,2022
Brazil,2022-11-04,21.914968,0.21804924,2022
Brazil,2022-11-05,21.091679,0.20718075,2022
Brazil,2022-11-06,18.229189,0.17117885,2022
Brazil,2022-11-07,17.867811,0.17049956,2022
Brazil,2022-11-08,18.05801,0.17389597,2022
Brazil,2022-11-09,18.166016,0.16166891,2022
Brazil,2022-11-10,21.13787,0.18204735,2022
Brazil,2022-11-11,25.963484,0.2302763,2022
Brazil,2022-11-12,29.391136,0.23095559,2022
Brazil,2022-11-13,40.16929,0.2200871,2022
Brazil,2022-11-14,41.819263,0.21329428,2022
Brazil,2022-11-15,41.762882,0.21057716,2022
Brazil,2022-11-16,44.53503,0.20310506,2022
Brazil,2022-11-17,37.3428,0.14604545,2022
Brazil,2022-11-18,41.106018,0.13381839,2022
Brazil,2022-11-19,55.338997,0.1548761,2022
Brazil,2022-11-20,62.01633,0.17049956,2022
Brazil,2022-11-21,64.71648,0.17933021,2022
Brazil,2022-11-22,66.97916,0.1834059,2022
Brazil,2022-11-23,77.601074,0.234352,2022
Brazil,2022-11-24,87.64425,0.30771434,2022
Brazil,2022-11-25,97.79135,0.34507483,2022
Brazil,2022-11-26,90.77234,0.34371626,2022
Brazil,2022-11-27,101.897606,0.36341542,2022
Brazil,2022-11-28,96.65763,0.35458475,2022
Brazil,2022-11-29,106.42094,0.3742839,2022
Brazil,2022-11-30,104.128365,0.33760273,2022
Brazil,2022-12-01,122.5919,0.34643337,2022
Brazil,2022-12-02,125.07128,0.3593397,2022
Brazil,2022-12-03,134.13358,0.4102858,2022
Brazil,2022-12-04,127.73406,0.42930567,2022
Brazil,2022-12-05,144.19101,0.45308053,2022
Brazil,2022-12-06,136.47029,0.43813634,2022
Brazil,2022-12-07,141.02216,0.47074184,2022
Brazil,2022-12-08,149.08455,0.50538516,2022
Brazil,2022-12-09,157.33646,0.52712214,2022
Brazil,2022-12-10,155.94868,0.4972338,2022
Brazil,2022-12-11,131.89603,0.40960652,2022
Brazil,2022-12-12,141.96161,0.43338138,2022
Brazil,2022-12-13,141.58461,0.42794713,2022
Brazil,2022-12-14,168.17575,0.533915,2022
Brazil,2022-12-15,130.1985,0.41164437,2022
Brazil,2022-12-16,172.28607,0.59233314,2022
Brazil,2022-12-17,188.91896,0.6622991,2022
Brazil,2022-12-18,229.46796,0.76962554,2022
Brazil,2022-12-19,218.28632,0.75807774,2022
Brazil,2022-12-20,220.38597,0.7669084,2022
Brazil,2022-12-21,204.66266,0.69694245,2022
Brazil,2022-12-22,243.17586,0.85929066,2022
Brazil,2022-12-23,199.04976,0.6874325,2022
