Entity,Day,"People vaccinated (cumulative, per hundred)",Year
Brazil,2023-01-01,89.65681,2023
Brazil,2023-01-03,89.66165,2023
Brazil,2023-01-04,89.66272,2023
Brazil,2023-01-06,89.77791,2023
Brazil,2023-01-07,89.781235,2023
Brazil,2023-01-08,89.783,2023
Brazil,2023-01-09,89.783005,2023
Brazil,2023-01-10,89.7831,2023
Brazil,2023-01-11,89.783714,2023
Brazil,2023-01-12,89.78388,2023
Brazil,2023-01-13,89.78405,2023
Brazil,2023-01-14,89.78415,2023
Brazil,2023-01-15,89.78423,2023
Brazil,2023-01-16,89.78425,2023
Brazil,2023-01-17,89.84214,2023
Brazil,2023-01-18,89.842285,2023
Brazil,2023-01-19,89.842415,2023
Brazil,2023-01-21,89.84665,2023
Brazil,2023-01-22,89.84667,2023
Brazil,2023-01-24,89.84673,2023
Brazil,2023-01-25,89.88841,2023
Brazil,2023-01-26,89.89024,2023
Brazil,2023-01-27,89.89119,2023
Brazil,2023-01-28,89.891266,2023
Brazil,2023-01-29,89.891266,2023
Brazil,2023-01-31,89.89146,2023
Brazil,2023-02-02,89.8939,2023
Brazil,2023-02-03,89.91008,2023
Brazil,2023-02-04,89.91017,2023
Brazil,2023-02-05,89.910385,2023
Brazil,2023-02-07,89.91497,2023
Brazil,2023-02-08,89.91524,2023
Brazil,2023-02-11,89.93834,2023
Brazil,2023-02-13,89.94612,2023
Brazil,2023-02-14,89.94629,2023
Brazil,2023-02-15,89.949974,2023
Brazil,2023-02-16,89.95,2023
Brazil,2023-02-17,89.95038,2023
Brazil,2023-02-19,89.95041,2023
Brazil,2023-02-20,89.95042,2023
Brazil,2023-02-21,90.01822,2023
Brazil,2023-02-24,90.018555,2023
Brazil,2023-02-26,90.0188,2023
Brazil,2023-02-28,90.04861,2023
Brazil,2023-03-02,90.05234,2023
Brazil,2023-03-03,90.05612,2023
Brazil,2023-03-04,90.05641,2023
Brazil,2023-03-05,90.05643,2023
Brazil,2023-03-07,90.05665,2023
Brazil,2023-03-08,90.056816,2023
Brazil,2023-03-10,90.07951,2023
Brazil,2023-03-11,90.1322,2023
Brazil,2023-03-13,90.13482,2023
Brazil,2023-03-14,90.15582,2023
Brazil,2023-03-16,90.15602,2023
Brazil,2023-03-18,90.16764,2023
Brazil,2023-03-19,90.167816,2023
Brazil,2023-03-21,90.17226,2023
Brazil,2023-03-22,90.17484,2023
Canada,2023-01-01,89.174225,2023
Canada,2023-01-02,89.17976,2023
Canada,2023-01-03,89.18147,2023
Canada,2023-01-04,89.183495,2023
Canada,2023-01-05,89.24215,2023
Canada,2023-01-06,89.25734,2023
Canada,2023-01-07,89.26247,2023
Canada,2023-01-08,89.26416,2023
Canada,2023-01-09,89.28413,2023
Canada,2023-01-10,89.29205,2023
Canada,2023-01-11,89.31081,2023
Canada,2023-01-12,89.355225,2023
Canada,2023-01-13,89.370155,2023
Canada,2023-01-14,89.37177,2023
Canada,2023-01-15,89.373146,2023
Canada,2023-01-16,89.39427,2023
Canada,2023-01-17,89.400696,2023
Canada,2023-01-18,89.404495,2023
Canada,2023-01-19,89.43662,2023
Canada,2023-01-20,89.46542,2023
Canada,2023-01-21,89.46682,2023
Canada,2023-01-22,89.467834,2023
Canada,2023-01-23,89.48266,2023
Canada,2023-01-24,89.48761,2023
Canada,2023-01-25,89.494736,2023
China,2023-01-12,91.92498,2023
China,2023-01-19,91.9315,2023
China,2023-01-26,91.93277,2023
China,2023-02-02,91.93698,2023
China,2023-02-09,91.938736,2023
China,2023-04-20,92.48146,2023
France,2023-01-01,82.44817,2023
France,2023-01-02,82.44958,2023
France,2023-01-03,82.45059,2023
France,2023-01-04,82.45142,2023
France,2023-01-05,82.45243,2023
France,2023-01-06,82.45357,2023
France,2023-01-07,82.454094,2023
France,2023-01-08,82.454254,2023
France,2023-01-09,82.45514,2023
France,2023-01-10,82.45607,2023
France,2023-01-11,82.45683,2023
France,2023-01-12,82.457756,2023
France,2023-01-13,82.45896,2023
France,2023-01-14,82.459496,2023
France,2023-01-15,82.45965,2023
France,2023-01-16,82.46029,2023
France,2023-01-17,82.46105,2023
France,2023-01-18,82.46176,2023
France,2023-01-19,82.462524,2023
France,2023-01-20,82.463486,2023
France,2023-01-21,82.46388,2023
France,2023-01-22,82.46395,2023
France,2023-01-23,82.46444,2023
France,2023-01-24,82.465164,2023
France,2023-01-25,82.46578,2023
France,2023-01-26,82.46644,2023
France,2023-01-27,82.46723,2023
France,2023-01-28,82.46759,2023
France,2023-01-29,82.46765,2023
France,2023-01-30,82.46821,2023
France,2023-01-31,82.46885,2023
France,2023-02-01,82.46947,2023
France,2023-02-02,82.47003,2023
France,2023-02-03,82.47076,2023
France,2023-02-04,82.471054,2023
France,2023-02-05,82.47109,2023
France,2023-02-06,82.471565,2023
France,2023-02-07,82.4721,2023
France,2023-02-08,82.47255,2023
France,2023-02-09,82.47307,2023
France,2023-02-10,82.47377,2023
France,2023-02-11,82.47402,2023
France,2023-02-12,82.47409,2023
France,2023-02-13,82.47447,2023
France,2023-02-14,82.47492,2023
France,2023-02-15,82.475365,2023
France,2023-02-16,82.47577,2023
France,2023-02-17,82.476326,2023
France,2023-02-18,82.47657,2023
