Entity,Day,Weekly cases,Year
Brazil,2022-06-17,295992,2022
Brazil,2022-06-18,283853,2022
Brazil,2022-06-19,256034,2022
Brazil,2022-06-20,248365,2022
Brazil,2022-06-21,247328,2022
Brazil,2022-06-22,257427,2022
Brazil,2022-06-23,277348,2022
Brazil,2022-06-24,278964,2022
Brazil,2022-06-25,318079,2022
Brazil,2022-06-26,349791,2022
Brazil,2022-06-27,368457,2022
Brazil,2022-06-28,374445,2022
Brazil,2022-06-29,375851,2022
Brazil,2022-06-30,388127,2022
Brazil,2022-07-01,392146,2022
Brazil,2022-07-02,395236,2022
Brazil,2022-07-03,410897,2022
Brazil,2022-07-04,409888,2022
Brazil,2022-07-05,411784,2022
Brazil,2022-07-06,405607,2022
Brazil,2022-07-07,403560,2022
Brazil,2022-07-08,404801,2022
Brazil,2022-07-09,401712,2022
Brazil,2022-07-10,396781,2022
Brazil,2022-07-11,402654,2022
Brazil,2022-07-12,384079,2022
Brazil,2022-07-13,404584,2022
Brazil,2022-07-14,394041,2022
Brazil,2022-07-15,389099,2022
Brazil,2022-07-16,382428,2022
Brazil,2022-07-17,419273,2022
Brazil,2022-07-18,415765,2022
Brazil,2022-07-19,426617,2022
Brazil,2022-07-20,399308,2022
Brazil,2022-07-21,393259,2022
Brazil,2022-07-22,377515,2022
Brazil,2022-07-23,363569,2022
Brazil,2022-07-24,255610,2022
Brazil,2022-07-25,291267,2022
Brazil,2022-07-26,290238,2022
Brazil,2022-07-27,282150,2022
Brazil,2022-07-28,262065,2022
Brazil,2022-07-29,250099,2022
Brazil,2022-07-30,243258,2022
Brazil,2022-07-31,284971,2022
Brazil,2022-08-01,232054,2022
Brazil,2022-08-02,242544,2022
Brazil,2022-08-03,233999,2022
Brazil,2022-08-04,230549,2022
Brazil,2022-08-05,219668,2022
Brazil,2022-08-06,215509,2022
Brazil,2022-08-07,203772,2022
Brazil,2022-08-08,197586,2022
Brazil,2022-08-09,184471,2022
Brazil,2022-08-10,179816,2022
Brazil,2022-08-11,175572,2022
Brazil,2022-08-12,172874,2022
Brazil,2022-08-13,160085,2022
Brazil,2022-08-14,153661,2022
Brazil,2022-08-15,154684,2022
