Entity,Day,Weekly deaths,Year
Brazil,2023-01-01,1110,2023
Brazil,2023-01-02,1110,2023
Brazil,2023-01-03,1110,2023
Brazil,2023-01-04,1012,2023
Brazil,2023-01-05,993,2023
Brazil,2023-01-06,849,2023
Brazil,2023-01-07,835,2023
Brazil,2023-01-08,926,2023
Brazil,2023-01-09,953,2023
Brazil,2023-01-10,964,2023
Brazil,2023-01-11,936,2023
Brazil,2023-01-12,793,2023
Brazil,2023-01-13,677,2023
Brazil,2023-01-14,667,2023
Brazil,2023-01-15,457,2023
Brazil,2023-01-16,532,2023
Brazil,2023-01-17,526,2023
Brazil,2023-01-18,493,2023
Brazil,2023-01-19,539,2023
Brazil,2023-01-20,527,2023
Brazil,2023-01-21,851,2023
Brazil,2023-01-22,952,2023
Brazil,2023-01-23,916,2023
Brazil,2023-01-24,914,2023
Brazil,2023-01-25,932,2023
Brazil,2023-01-26,961,2023
Brazil,2023-01-27,988,2023
Brazil,2023-01-28,609,2023
Brazil,2023-01-29,554,2023
Brazil,2023-01-30,503,2023
Brazil,2023-01-31,502,2023
Brazil,2023-02-01,550,2023
Brazil,2023-02-02,589,2023
Brazil,2023-02-03,597,2023
Brazil,2023-02-04,552,2023
Brazil,2023-02-05,603,2023
Brazil,2023-02-06,603,2023
Brazil,2023-02-07,602,2023
Brazil,2023-02-08,547,2023
Brazil,2023-02-09,459,2023
Brazil,2023-02-10,383,2023
Brazil,2023-02-11,372,2023
Brazil,2023-02-12,317,2023
Brazil,2023-02-13,314,2023
Brazil,2023-02-14,313,2023
Brazil,2023-02-15,323,2023
Brazil,2023-02-16,229,2023
Brazil,2023-02-17,311,2023
Brazil,2023-02-18,394,2023
Brazil,2023-02-19,385,2023
Brazil,2023-02-20,382,2023
Brazil,2023-02-21,382,2023
Brazil,2023-02-22,296,2023
Brazil,2023-02-23,307,2023
Brazil,2023-02-24,487,2023
Brazil,2023-02-25,820,2023
Brazil,2023-02-26,881,2023
Brazil,2023-02-27,890,2023
Brazil,2023-02-28,891,2023
Brazil,2023-03-01,948,2023
Brazil,2023-03-02,1018,2023
Brazil,2023-03-03,816,2023
Brazil,2023-03-04,409,2023
Brazil,2023-03-05,348,2023
Brazil,2023-03-06,364,2023
Brazil,2023-03-07,363,2023
