Data Source,Indicator,Indicator Measure,Gender,Geography,Denominator,Numerator,Prevalence,Lower 95% CI (Prevalence),Upper 95% CI (Prevalence),Confidence interval type,Release Flag (Prevalence),Comparison with Canada
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Canada,12335,7292,59.9,58.7,61.2,Wald,C,
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,British Columbia,1148,662,55.6,52.1,59.1,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Alberta,1092,591,53.3,49.9,56.7,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Saskatchewan,901,489,54.0,50.1,57.9,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Manitoba,982,546,54.2,50.7,57.7,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Ontario,1975,1169,58.9,56.4,61.4,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Quebec,1704,1207,70.1,67.6,72.5,Wald,C,significantly higher
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,New Brunswick,880,492,52.2,48.5,56.0,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Nova Scotia,967,551,57.4,53.6,61.2,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Prince Edward Island,824,501,60.3,56.2,64.4,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Newfoundland And Labrador,842,546,62.6,59.0,66.2,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Yukon (Whitehorse),419,218,53.3,47.5,59.0,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Northwest Territories (Yellowknife),367,192,49.2,43.1,55.3,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Nunavut (Iqaluit),234,128,50.0,42.3,57.7,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Canada,7057,3918,55.7,53.9,57.5,Wald,C,
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,British Columbia,640,340,51.2,46.6,55.7,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Alberta,595,294,47.1,42.4,51.8,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Saskatchewan,533,272,50.3,45.4,55.3,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Manitoba,555,283,49.2,44.4,54.0,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Ontario,1101,613,54.2,50.7,57.6,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Quebec,965,664,67.7,64.4,71.0,Wald,C,significantly higher
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,New Brunswick,515,278,51.3,46.3,56.3,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Nova Scotia,595,305,48.8,44.5,53.2,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Prince Edward Island,506,299,57.9,53.0,62.7,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Newfoundland And Labrador,473,293,58.8,53.9,63.8,Wald,C,not significantly different
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Yukon (Whitehorse),254,121,46.4,39.1,53.6,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Northwest Territories (Yellowknife),197,93,45.7,37.7,53.7,Wald,C,significantly lower
2020 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Nunavut (Iqaluit),128,63,41.6,31.8,51.4,Wald,C,significantly lower
