Entity,Day,Case fatality rate of COVID-19 (%)
Brazil,2020-02-27,0
Brazil,2020-02-28,0
Brazil,2020-02-29,0
Brazil,2020-03-01,0
Brazil,2020-03-02,0
Brazil,2020-03-03,0
Brazil,2020-03-04,0
Brazil,2020-03-05,0
Brazil,2020-03-06,0
Brazil,2020-03-07,0
Brazil,2020-03-08,0
Brazil,2020-03-09,0
Brazil,2020-03-10,0
Brazil,2020-03-11,0
Brazil,2020-03-12,0
Brazil,2020-03-13,0
Brazil,2020-03-14,0
Brazil,2020-03-15,0
Brazil,2020-03-16,0
Brazil,2020-03-17,0
Brazil,2020-03-18,0
Brazil,2020-03-19,0.34364262
Brazil,2020-03-20,0.93457943
Brazil,2020-03-21,0.93457943
Brazil,2020-03-22,1.2168142
Brazil,2020-03-23,1.2168142
Brazil,2020-03-24,1.6170763
Brazil,2020-03-25,1.7979904
Brazil,2020-03-26,2.0899591
Brazil,2020-03-27,2.3427868
Brazil,2020-03-28,2.6415095
Brazil,2020-03-29,2.6924202
Brazil,2020-03-30,2.9208302
Brazil,2020-03-31,3.1954887
Brazil,2020-04-01,3.472374
Brazil,2020-04-02,3.51583
Brazil,2020-04-03,3.5254536
Brazil,2020-04-04,3.7800252
Brazil,2020-04-05,3.9642227
Brazil,2020-04-06,4.203152
Brazil,2020-04-07,4.3665767
Brazil,2020-04-08,4.586928
Brazil,2020-04-09,4.8625793
Brazil,2020-04-10,5.0229173
Brazil,2020-04-11,5.2696424
Brazil,2020-04-12,5.37733
Brazil,2020-04-13,5.4228783
Brazil,2020-04-14,5.5167127
Brazil,2020-04-15,5.6679473
Brazil,2020-04-16,6.0644445
Brazil,2020-04-17,6.1299434
Brazil,2020-04-18,6.3237467
Brazil,2020-04-19,6.356511
Brazil,2020-04-20,6.4127436
Brazil,2020-04-21,6.369328
Brazil,2020-04-22,6.345334
Brazil,2020-04-23,6.362729
Brazil,2020-04-24,6.3509407
Brazil,2020-04-25,6.694011
Brazil,2020-04-26,6.9251814
Brazil,2020-04-27,6.863901
Brazil,2020-04-28,6.794532
Brazil,2020-04-29,6.831476
Brazil,2020-04-30,6.979106
Brazil,2020-05-01,6.993168
Brazil,2020-05-02,6.9114547
Brazil,2020-05-03,6.9102182
Brazil,2020-05-04,6.990545
Brazil,2020-05-05,6.945337
Brazil,2020-05-06,6.7925406
Brazil,2020-05-07,6.904938
Brazil,2020-05-08,6.816911
Brazil,2020-05-09,6.7694993
Brazil,2020-05-10,6.8101125
Brazil,2020-05-11,6.814844
Brazil,2020-05-12,6.8365507
Brazil,2020-05-13,6.8430653
Brazil,2020-05-14,6.9824142
Brazil,2020-05-15,6.9581
Brazil,2020-05-16,6.895889
Brazil,2020-05-17,6.7898436
Brazil,2020-05-18,6.7053556
Brazil,2020-05-19,6.6857476
Brazil,2020-05-20,6.6053023
Brazil,2020-05-21,6.6160336
Brazil,2020-05-22,6.467887
Brazil,2020-05-23,6.4649596
Brazil,2020-05-24,6.3610263
Brazil,2020-05-25,6.3365364
Brazil,2020-05-26,6.24045
Brazil,2020-05-27,6.26117
Brazil,2020-05-28,6.2654963
Brazil,2020-05-29,6.2158074
Brazil,2020-05-30,6.104902
Brazil,2020-05-31,5.9931293
Brazil,2020-06-01,5.7848487
Brazil,2020-06-02,5.6937084
Brazil,2020-06-03,5.686612
Brazil,2020-06-04,5.6175647
Brazil,2020-06-05,5.573135
Brazil,2020-06-06,5.5324006
Brazil,2020-06-07,5.423904
Brazil,2020-06-08,5.3400035
Brazil,2020-06-09,5.2699065
Brazil,2020-06-10,5.2492747
Brazil,2020-06-11,5.193488
Brazil,2020-06-12,5.1371284
Brazil,2020-06-13,5.0968575
Brazil,2020-06-14,5.046754
Brazil,2020-06-15,5.022845
Brazil,2020-06-16,4.9943295
Brazil,2020-06-17,4.9488277
Brazil,2020-06-18,4.900513
Brazil,2020-06-19,4.868235
Brazil,2020-06-20,4.8815
Brazil,2020-06-21,4.739412
Brazil,2020-06-22,4.6812463
Brazil,2020-06-23,4.664998
Brazil,2020-06-24,4.633745
Brazil,2020-06-25,4.5941815
Brazil,2020-06-26,4.5287395
Brazil,2020-06-27,4.4760504
Brazil,2020-06-28,4.3891873
Brazil,2020-06-29,4.344328
Brazil,2020-06-30,4.2868953
Brazil,2020-07-01,4.2621117
Brazil,2020-07-02,4.250518
Brazil,2020-07-03,4.1851163
Brazil,2020-07-04,4.1342597
Brazil,2020-07-05,4.104657
Brazil,2020-07-06,4.0751324
Brazil,2020-07-07,4.046461
Brazil,2020-07-08,4.0342293
Brazil,2020-07-09,3.9998465
Brazil,2020-07-10,3.9671717
Brazil,2020-07-11,3.9403594
