Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)","Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)"
Brazil,2020-01-09,0,0
Brazil,2020-01-10,0,0
Brazil,2020-01-11,0,0
Brazil,2020-01-12,0,0
Brazil,2020-01-13,0,0
Brazil,2020-01-14,0,0
Brazil,2020-01-15,0,0
Brazil,2020-01-16,0,0
Brazil,2020-01-17,0,0
Brazil,2020-01-18,0,0
Brazil,2020-01-19,0,0
Brazil,2020-01-20,0,0
Brazil,2020-01-21,0,0
Brazil,2020-01-22,0,0
Brazil,2020-01-23,0,0
Brazil,2020-01-24,0,0
Brazil,2020-01-25,0,0
Brazil,2020-01-26,0,0
Brazil,2020-01-27,0,0
Brazil,2020-01-28,0,0
Brazil,2020-01-29,0,0
Brazil,2020-01-30,0,0
Brazil,2020-01-31,0,0
Brazil,2020-02-01,0,0
Brazil,2020-02-02,0,0
Brazil,2020-02-03,0,0
Brazil,2020-02-04,0,0
Brazil,2020-02-05,0,0
Brazil,2020-02-06,0,0
Brazil,2020-02-07,0,0
Brazil,2020-02-08,0,0
Brazil,2020-02-09,0,0
Brazil,2020-02-10,0,0
Brazil,2020-02-11,0,0
Brazil,2020-02-12,0,0
Brazil,2020-02-13,0,0
Brazil,2020-02-14,0,0
Brazil,2020-02-15,0,0
Brazil,2020-02-16,0,0
Brazil,2020-02-17,0,0
Brazil,2020-02-18,0,0
Brazil,2020-02-19,0,0
Brazil,2020-02-20,0,0
Brazil,2020-02-21,0,0
Brazil,2020-02-22,0,0
Brazil,2020-02-23,0,0
Brazil,2020-02-24,0,0
Brazil,2020-02-25,0,0
Brazil,2020-02-26,0,0
Brazil,2020-02-27,0.00067928113,0
Brazil,2020-02-28,0.00067928113,0
Brazil,2020-02-29,0.00067928113,0
Brazil,2020-03-01,0.00067928113,0
Brazil,2020-03-02,0.0013585623,0
Brazil,2020-03-03,0.0013585623,0
Brazil,2020-03-04,0.0013585623,0
Brazil,2020-03-05,0.00067928113,0
Brazil,2020-03-06,0.0013585623,0
Brazil,2020-03-07,0.004754968,0
Brazil,2020-03-08,0.008151374,0
Brazil,2020-03-09,0.01154778,0
Brazil,2020-03-10,0.015623466,0
Brazil,2020-03-11,0.015623466,0
Brazil,2020-03-12,0.021736996,0
Brazil,2020-03-13,0.038719025,0
Brazil,2020-03-14,0.0468704,0
Brazil,2020-03-15,0.04822896,0
Brazil,2020-03-16,0.069286674,0
Brazil,2020-03-17,0.1188742,0
Brazil,2020-03-18,0.14196976,0
Brazil,2020-03-19,0.17457525,0.00067928113
Brazil,2020-03-20,0.24997546,0.0027171245
Brazil,2020-03-21,0.23842768,0.0027171245
Brazil,2020-03-22,0.55701053,0.0074720928
Brazil,2020-03-23,0.53187716,0.0074720928
Brazil,2020-03-24,0.9143124,0.016982028
Brazil,2020-03-25,1.1255689,0.02309556
Brazil,2020-03-26,1.2974269,0.030567652
Brazil,2020-03-27,1.3619587,0.036001902
Brazil,2020-03-28,1.6893722,0.04958752
Brazil,2020-03-29,1.7070335,0.055021774
Brazil,2020-03-30,2.0371642,0.06996596
Brazil,2020-03-31,1.8408519,0.0754002
Brazil,2020-04-01,1.8259077,0.08491014
Brazil,2020-04-02,2.3883524,0.10528858
Brazil,2020-04-03,2.9908748,0.12498773
Brazil,2020-04-04,3.3930092,0.1508004
Brazil,2020-04-05,3.8304663,0.18136807
Brazil,2020-04-06,4.330417,0.2160114
Brazil,2020-04-07,4.6693788,0.2377484
Brazil,2020-04-08,5.078985,0.26763678
Brazil,2020-04-09,5.434249,0.316545
Brazil,2020-04-10,6.175345,0.37971815
