Entity,Day,"COVID-19 doses (cumulative, per hundred)","People vaccinated (cumulative, per hundred)","People fully vaccinated (cumulative, per hundred)","Booster doses (cumulative, per hundred)",Year
Brazil,2023-01-01,228.39728,89.65681,83.15866,11.991503,2023
Brazil,2023-01-02,157.72528999999997,79.13549,68.27796000000001,58.309906,2023
Brazil,2023-01-03,228.43585,89.66165,83.1669,58.33547,2023
Brazil,2023-01-04,228.44319,89.66272,83.16855,58.340107,2023
Brazil,2023-01-06,229.30618,89.77791,83.33781,58.920963,2023
Brazil,2023-01-07,229.32845,89.781235,83.342384,58.935368,2023
Brazil,2023-01-08,229.34091,89.783,83.344795,58.94369,2023
Brazil,2023-01-09,229.34093,89.783005,83.3448,11.991503,2023
Brazil,2023-01-10,229.34126,89.7831,83.34504,58.94369,2023
Brazil,2023-01-11,229.34636,89.783714,83.34706,58.946445,2023
Brazil,2023-01-12,229.34685,89.78388,83.34738,11.991503,2023
Brazil,2023-01-13,229.34729,89.78405,83.34769,58.946445,2023
Brazil,2023-01-14,229.34758,89.78415,83.34787,11.991503,2023
Brazil,2023-01-15,229.34775,89.78423,83.34795,58.946445,2023
Brazil,2023-01-16,229.34776,89.78425,83.34796,11.991503,2023
Brazil,2023-01-17,229.45963,89.84214,83.36366,58.988205,2023
Brazil,2023-01-18,229.46004,89.842285,83.36392,11.991503,2023
Brazil,2023-01-19,229.46385,89.842415,83.364235,58.991573,2023
Brazil,2023-01-21,229.50018,89.84665,83.37247,59.0155,2023
Brazil,2023-01-22,229.50021,89.84667,83.37248,11.991503,2023
Brazil,2023-01-23,157.72528999999997,79.13549,68.27796000000001,59.0155,2023
Brazil,2023-01-24,229.50346,89.84673,83.37568,11.991503,2023
Brazil,2023-01-25,229.89278,89.88841,83.44691,59.29269,2023
Brazil,2023-01-26,229.90822,89.89024,83.45117,59.30206,2023
Brazil,2023-01-27,229.94302,89.89119,83.45464,59.332516,2023
Brazil,2023-01-28,229.94322,89.891266,83.45475,11.991503,2023
Brazil,2023-01-29,229.94324,89.891266,83.45477,59.332516,2023
Brazil,2023-01-31,229.94443,89.89146,83.45546,59.33283,2023
Brazil,2023-02-02,229.96828,89.8939,83.46174,59.34799,2023
Brazil,2023-02-03,230.1211,89.91008,83.50083,59.446594,2023
Brazil,2023-02-04,230.12207,89.91017,83.501236,59.447086,2023
Brazil,2023-02-05,230.12248,89.910385,83.50143,11.991503,2023
Brazil,2023-02-06,157.72528999999997,79.13549,68.27796000000001,59.447086,2023
Brazil,2023-02-07,230.15573,89.91497,83.50932,59.468063,2023
Brazil,2023-02-08,230.15729,89.91524,83.51017,59.468517,2023
Brazil,2023-02-11,230.2843,89.93834,83.54151,59.54127,2023
Brazil,2023-02-13,230.32314,89.94612,83.54952,59.56441,2023
Brazil,2023-02-14,230.32512,89.94629,83.55017,59.565575,2023
Brazil,2023-02-15,230.34824,89.949974,83.55413,59.581066,2023
Brazil,2023-02-16,230.35101,89.95,83.55521,59.582745,2023
Brazil,2023-02-17,230.35248,89.95038,83.55572,59.583317,2023
Brazil,2023-02-19,230.35257,89.95041,83.55577,11.991503,2023
Brazil,2023-02-20,230.35258,89.95042,83.55578,59.583317,2023
Brazil,2023-02-21,230.61053,90.01822,83.6055,59.724346,2023
Brazil,2023-02-24,230.6137,90.018555,83.6064,59.726276,2023
Brazil,2023-02-26,230.61903,90.0188,83.60783,59.729942,2023
Brazil,2023-02-28,230.70573,90.04861,83.63029,59.764412,2023
Brazil,2023-03-02,230.72011,90.05234,83.633705,59.77163,2023
Brazil,2023-03-03,230.73376,90.05612,83.636826,59.77839,2023
Brazil,2023-03-04,230.73833,90.05641,83.63794,59.781548,2023
Brazil,2023-03-05,230.73836,90.05643,83.637955,11.991503,2023
Brazil,2023-03-06,157.72528999999997,79.13549,68.27796000000001,59.781548,2023
Brazil,2023-03-07,230.74367,90.05665,83.63987,59.784718,2023
Brazil,2023-03-08,230.74867,90.056816,83.642044,59.787388,2023
Brazil,2023-03-10,230.85756,90.07951,83.66617,59.849514,2023
Brazil,2023-03-11,231.07617,90.1322,83.71459,59.96738,2023
Brazil,2023-03-13,231.08922,90.13482,83.717316,59.975094,2023
Brazil,2023-03-14,231.17444,90.15582,83.739876,60.017197,2023
Brazil,2023-03-16,231.20561,90.15602,83.74006,60.048004,2023
Brazil,2023-03-18,231.26352,90.16764,83.756294,60.07808,2023
Brazil,2023-03-19,231.26389,90.167816,83.75648,11.991503,2023
Brazil,2023-03-20,157.72528999999997,79.13549,68.27796000000001,60.07808,2023
Brazil,2023-03-21,231.28746,90.17226,83.762344,60.09142,2023
Brazil,2023-03-22,231.29897,90.17484,83.7655,60.09737,2023
Brazil,2023-12-29,245.46909,79.13549,68.27796000000001,11.991503,2023
Canada,2023-01-01,248.08044,89.174225,81.73714,77.169075,2023
Canada,2023-01-02,248.09227,89.17976,81.73752,77.17499,2023
Canada,2023-01-03,248.11557,89.18147,81.73807,77.19603,2023
Canada,2023-01-04,248.15508,89.183495,81.73988,77.23169,2023
Canada,2023-01-05,248.30379,89.24215,81.748215,77.31342,2023
Canada,2023-01-06,248.36949,89.25734,81.750946,77.36121,2023
Canada,2023-01-07,248.46999,89.26247,81.75544,77.45208,2023
Canada,2023-01-08,248.50024,89.26416,81.75705,77.47904,2023
Canada,2023-01-09,248.55037,89.28413,81.759186,77.50706,2023
Canada,2023-01-10,248.59503,89.29205,81.76121,77.54178,2023
Canada,2023-01-11,248.84303,89.31081,81.76949,77.76273,2023
Canada,2023-01-12,248.98145,89.355225,81.776505,77.84971,2023
Canada,2023-01-13,249.0418,89.370155,81.77883,77.892815,2023
Canada,2023-01-14,249.07735,89.37177,81.780365,77.9252,2023
Canada,2023-01-15,249.10156,89.373146,81.78178,77.94665,2023
Canada,2023-01-16,249.14687,89.39427,81.783714,77.96887,2023
Canada,2023-01-17,249.1806,89.400696,81.78489,77.99501,2023
Canada,2023-01-18,249.27432,89.404495,81.78879,78.08105,2023
Canada,2023-01-19,249.38188,89.43662,81.796265,78.148994,2023
Canada,2023-01-20,249.44904,89.46542,81.79856,78.18505,2023
Canada,2023-01-21,249.47992,89.46682,81.800125,78.21297,2023
Canada,2023-01-22,249.49956,89.467834,81.80123,78.2305,2023
Canada,2023-01-23,249.53316,89.48266,81.80306,78.24744,2023
Canada,2023-01-24,249.56197,89.48761,81.8041,78.270256,2023
Canada,2023-01-25,249.61475,89.494736,81.80644,78.31356,2023
Canada,2023-01-26,249.673,78.25493,75.708435,78.34203,2023
Canada,2023-01-27,249.75398,78.25493,75.708435,79.241844,2023
Canada,2023-01-28,249.77779,78.25493,75.708435,79.26402,2023
Canada,2023-01-29,249.793,78.25493,75.708435,79.27776,2023
Canada,2023-01-30,249.81642,78.25493,75.708435,79.28795,2023
Canada,2023-01-31,249.8349,78.25493,75.708435,79.30314,2023
Canada,2023-02-01,249.89676,78.25493,75.708435,79.35519,2023
Canada,2023-02-02,249.95844,78.25493,75.708435,79.39103,2023
Canada,2023-02-03,249.96504,78.25493,75.708435,79.39272,2023
Canada,2023-02-06,249.9744,78.25493,75.708435,79.39571,2023
Canada,2023-02-07,249.97731,78.25493,75.708435,79.39651,2023
Canada,2023-02-08,250.01291,78.25493,75.708435,79.42533,2023
Canada,2023-02-09,250.04568,78.25493,75.708435,79.439735,2023
Canada,2023-02-10,250.16821,78.25493,75.708435,79.574715,2023
Canada,2023-02-11,250.18361,78.25493,75.708435,79.58921,2023
Canada,2023-02-12,250.19408,78.25493,75.708435,79.59837,2023
Canada,2023-02-13,250.20801,78.25493,75.708435,79.60485,2023
Canada,2023-02-14,250.22018,78.25493,75.708435,79.61472,2023
Canada,2023-02-15,250.25998,78.25493,75.708435,79.64813,2023
Canada,2023-02-16,250.30534,78.25493,75.708435,79.67201,2023
Canada,2023-02-17,250.32808,78.25493,75.708435,79.69616,2023
Canada,2023-02-18,250.34113,78.25493,75.708435,79.70788,2023
Canada,2023-02-19,250.34967,78.25493,75.708435,79.715454,2023
Canada,2023-02-20,250.36023,78.25493,75.708435,79.72064,2023
Canada,2023-02-21,250.36574,78.25493,75.708435,79.72344,2023
Canada,2023-02-22,250.40019,78.25493,75.708435,79.75062,2023
Canada,2023-02-23,250.43999,78.25493,75.708435,79.7709,2023
Canada,2023-02-24,250.45714,78.25493,75.708435,79.79006,2023
Canada,2023-02-25,250.46985,78.25493,75.708435,79.80091,2023
Canada,2023-02-26,250.47873,78.25493,75.708435,79.807655,2023
Canada,2023-02-27,250.49106,78.25493,75.708435,79.81199,2023
Canada,2023-02-28,250.50183,78.25493,75.708435,79.81882,2023
Canada,2023-03-01,250.53632,78.25493,75.708435,79.84324,2023
Canada,2023-03-02,250.5738,78.25493,75.708435,79.86215,2023
Canada,2023-03-03,250.59613,78.25493,75.708435,79.88297,2023
Canada,2023-03-04,250.60876,78.25493,75.708435,79.89372,2023
Canada,2023-03-05,250.61526,78.25493,75.708435,79.899,2023
Canada,2023-03-06,250.62776,78.25493,75.708435,79.903244,2023
Canada,2023-03-07,250.6401,78.25493,75.708435,79.91127,2023
Canada,2023-03-08,250.67697,78.25493,75.708435,79.938416,2023
Canada,2023-03-09,250.72527,78.25493,75.708435,79.96066,2023
Canada,2023-03-10,250.74905,78.25493,75.708435,79.993065,2023
Canada,2023-03-11,250.75937,78.25493,75.708435,80.00287,2023
Canada,2023-03-12,250.76672,78.25493,75.708435,80.009544,2023
Canada,2023-03-13,250.78065,78.25493,75.708435,80.01325,2023
Canada,2023-03-14,250.79366,78.25493,75.708435,80.020966,2023
Canada,2023-03-15,250.82732,78.25493,75.708435,80.04453,2023
Canada,2023-03-16,250.86598,78.25493,75.708435,80.061226,2023
Canada,2023-03-17,250.891,78.25493,75.708435,80.08374,2023
Canada,2023-03-18,250.90207,78.25493,75.708435,80.09423,2023
Canada,2023-03-19,250.90903,78.25493,75.708435,80.10039,2023
Canada,2023-03-20,250.91098,78.25493,75.708435,80.10235,2023
Canada,2023-03-21,250.93625,78.25493,75.708435,80.11115,2023
Canada,2023-03-22,250.95306,78.25493,75.708435,80.1208,2023
Canada,2023-03-23,250.98817,78.25493,75.708435,80.13687,2023
Canada,2023-03-24,251.01106,78.25493,75.708435,80.15694,2023
Canada,2023-03-25,251.02196,78.25493,75.708435,80.16744,2023
Canada,2023-03-26,251.02827,78.25493,75.708435,80.173134,2023
Canada,2023-03-27,251.04358,78.25493,75.708435,80.17656,2023
Canada,2023-03-28,251.0568,78.25493,75.708435,80.1843,2023
Canada,2023-03-29,251.10764,78.25493,75.708435,80.224,2023
Canada,2023-03-30,251.14679,78.25493,75.708435,80.241104,2023
Canada,2023-03-31,251.16939,78.25493,75.708435,80.25883,2023
Canada,2023-04-01,251.18008,78.25493,75.708435,80.268845,2023
Canada,2023-04-02,251.18567,78.25493,75.708435,80.27398,2023
Canada,2023-04-03,251.19873,78.25493,75.708435,80.27698,2023
Canada,2023-04-04,251.21126,78.25493,75.708435,80.28572,2023
Canada,2023-04-05,251.24466,78.25493,75.708435,80.31069,2023
Canada,2023-04-06,251.29121,78.25493,75.708435,80.327805,2023
Canada,2023-04-07,251.31396,78.25493,75.708435,80.36835,2023
Canada,2023-04-08,251.3161,78.25493,75.708435,80.370865,2023
Canada,2023-04-09,251.32231,78.25493,75.708435,80.37692,2023
Canada,2023-04-10,251.3274,78.25493,75.708435,80.3786,2023
Canada,2023-04-11,251.33482,78.25493,75.708435,80.38612,2023
Canada,2023-04-12,251.3742,78.25493,75.708435,80.41737,2023
Canada,2023-04-13,251.4614,78.25493,75.708435,80.442635,2023
Canada,2023-04-14,251.47795,78.25493,75.708435,80.45897,2023
Canada,2023-04-15,251.49554,78.25493,75.708435,80.4762,2023
Canada,2023-04-16,251.50389,78.25493,75.708435,80.48417,2023
Canada,2023-04-17,251.52303,78.25493,75.708435,80.48802,2023
Canada,2023-04-18,251.53514,78.25493,75.708435,80.4997,2023
Canada,2023-04-19,251.58177,78.25493,75.708435,80.5359,2023
Canada,2023-04-20,251.72044,78.25493,75.708435,80.557274,2023
Canada,2023-04-21,251.74805,78.25493,75.708435,80.585,2023
Canada,2023-04-22,251.76428,78.25493,75.708435,80.60102,2023
Canada,2023-04-23,251.7727,78.25493,75.708435,80.60888,2023
Canada,2023-04-24,251.78426,78.25493,75.708435,80.611984,2023
Canada,2023-04-25,251.79631,78.25493,75.708435,80.62373,2023
Canada,2023-04-26,251.84361,78.25493,75.708435,80.66167,2023
Canada,2023-04-27,251.8668,78.25493,75.708435,80.67839,2023
Canada,2023-04-28,251.8949,78.25493,75.708435,80.703926,2023
Canada,2023-04-29,251.91154,78.25493,75.708435,80.72001,2023
Canada,2023-04-30,251.91827,78.25493,75.708435,80.72618,2023
Canada,2023-05-01,251.93109,78.25493,75.708435,80.72971,2023
Canada,2023-05-02,251.94434,78.25493,75.708435,80.74058,2023
Canada,2023-05-03,251.98738,78.25493,75.708435,80.77729,2023
Canada,2023-05-04,252.00697,78.25493,75.708435,80.79643,2023
Canada,2023-05-05,252.04602,78.25493,75.708435,80.851166,2023
Canada,2023-05-07,252.10135,78.25493,75.708435,80.90594,2023
Canada,2023-05-09,252.13849,78.25493,75.708435,80.94292,2023
Canada,2023-05-10,252.19795,78.25493,75.708435,80.98124,2023
Canada,2023-05-11,252.23027,78.25493,75.708435,81.01318,2023
Canada,2023-05-12,252.27223,78.25493,75.708435,81.05917,2023
Canada,2023-05-13,252.3013,78.25493,75.708435,81.08809,2023
Canada,2023-05-14,252.31198,78.25493,75.708435,81.09851,2023
Canada,2023-05-15,252.31467,78.25493,75.708435,81.101265,2023
Canada,2023-05-16,252.33704,78.25493,75.708435,81.12337,2023
Canada,2023-05-17,252.39641,78.25493,75.708435,81.18017,2023
Canada,2023-05-18,252.44243,78.25493,75.708435,81.20663,2023
Canada,2023-05-19,252.47903,78.25493,75.708435,81.246216,2023
Canada,2023-05-20,252.50256,78.25493,75.708435,81.269295,2023
Canada,2023-05-21,252.51033,78.25493,75.708435,81.27672,2023
Canada,2023-05-22,252.51276,78.25493,75.708435,81.27909,2023
Canada,2023-05-23,252.5146,78.25493,75.708435,81.28091,2023
Canada,2023-05-24,252.55096,78.25493,75.708435,81.30212,2023
Canada,2023-05-25,252.57326,78.25493,75.708435,81.32398,2023
Canada,2023-05-26,252.6002,78.25493,75.708435,81.35743,2023
Canada,2023-05-27,252.62093,78.25493,75.708435,81.37772,2023
Canada,2023-05-28,252.62834,78.25493,75.708435,81.3848,2023
Canada,2023-05-29,252.63078,78.25493,75.708435,81.38719,2023
Canada,2023-05-30,252.64568,78.25493,75.708435,81.40182,2023
Canada,2023-05-31,252.68382,78.25493,75.708435,81.42341,2023
Canada,2023-06-01,252.70123,78.25493,75.708435,81.44039,2023
Canada,2023-06-02,252.72388,78.25493,75.708435,81.467155,2023
Canada,2023-06-03,252.73773,78.25493,75.708435,81.48071,2023
Canada,2023-06-04,252.74297,78.25493,75.708435,81.48561,2023
Canada,2023-06-05,252.74449,78.25493,75.708435,81.48709,2023
Canada,2023-06-06,252.7558,78.25493,75.708435,81.49824,2023
Canada,2023-06-07,252.81927,78.25493,75.708435,81.546394,2023
Canada,2023-06-08,252.83296,78.25493,75.708435,81.55978,2023
Canada,2023-06-09,252.8542,78.25493,75.708435,81.60075,2023
Canada,2023-06-10,229.32942,78.25493,75.708435,81.613914,2023
Canada,2023-06-11,229.32942,78.25493,75.708435,81.61873,2023
Canada,2023-06-12,229.32942,78.25493,75.708435,81.62029,2023
Canada,2023-06-13,229.32942,78.25493,75.708435,81.6304,2023
Canada,2023-06-14,252.86755,78.25493,75.708435,81.65987,2023
Canada,2023-06-15,252.87979,78.25493,75.708435,81.67174,2023
Canada,2023-06-16,252.89967,78.25493,75.708435,81.6982,2023
Canada,2023-06-17,252.9099,78.25493,75.708435,81.70828,2023
Canada,2023-06-18,252.91388,78.25493,75.708435,81.71215,2023
Canada,2023-06-19,252.91478,78.25493,75.708435,81.71312,2023
Canada,2023-06-20,252.92271,78.25493,75.708435,81.72084,2023
Canada,2023-06-21,252.95537,78.25493,75.708435,81.74011,2023
Canada,2023-06-22,252.96486,78.25493,75.708435,81.749214,2023
Canada,2023-06-23,252.98102,78.25493,75.708435,81.771576,2023
Canada,2023-06-24,252.99037,78.25493,75.708435,81.78098,2023
Canada,2023-06-25,252.99422,78.25493,75.708435,81.78474,2023
Canada,2023-06-26,252.99551,78.25493,75.708435,81.78612,2023
Canada,2023-06-27,253.00316,78.25493,75.708435,81.79345,2023
Canada,2023-06-28,253.03142,78.25493,75.708435,81.81185,2023
Canada,2023-06-29,253.04094,78.25493,75.708435,81.82103,2023
Canada,2023-06-30,253.05478,78.25493,75.708435,81.837776,2023
Canada,2023-07-01,253.06268,78.25493,75.708435,81.84533,2023
Canada,2023-07-02,253.06337,78.25493,75.708435,81.84598,2023
Canada,2023-07-03,253.06427,78.25493,75.708435,81.846855,2023
Canada,2023-07-04,253.06741,78.25493,75.708435,81.84993,2023
Canada,2023-07-05,253.08109,78.25493,75.708435,81.8565,2023
Canada,2023-07-06,253.08708,78.25493,75.708435,81.86222,2023
Canada,2023-07-07,253.0991,78.25493,75.708435,81.89388,2023
Canada,2023-07-08,253.10521,78.25493,75.708435,81.89979,2023
Canada,2023-07-09,253.10754,78.25493,75.708435,81.901924,2023
Canada,2023-07-10,253.10829,78.25493,75.708435,81.902664,2023
Canada,2023-07-11,253.11269,78.25493,75.708435,81.90697,2023
Canada,2023-07-12,253.12761,78.25493,75.708435,81.91342,2023
Canada,2023-07-13,253.13286,78.25493,75.708435,81.91837,2023
Canada,2023-07-14,253.14146,78.25493,75.708435,81.93545,2023
Canada,2023-07-15,253.14626,78.25493,75.708435,81.94016,2023
Canada,2023-07-16,253.1483,78.25493,75.708435,81.942215,2023
Canada,2023-07-17,253.14877,78.25493,75.708435,81.94278,2023
Canada,2023-07-18,253.15211,78.25493,75.708435,81.94594,2023
Canada,2023-07-19,253.16412,78.25493,75.708435,81.951096,2023
Canada,2023-07-20,253.16776,78.25493,75.708435,81.95439,2023
Canada,2023-07-21,253.17465,78.25493,75.708435,81.96826,2023
Canada,2023-07-22,253.1785,78.25493,75.708435,81.97207,2023
Canada,2023-07-23,253.18027,78.25493,75.708435,81.97382,2023
Canada,2023-07-24,253.18086,78.25493,75.708435,81.97451,2023
Canada,2023-07-25,253.18356,78.25493,75.708435,81.97708,2023
Canada,2023-07-26,253.2233,78.25493,75.708435,82.00641,2023
Canada,2023-07-27,253.22636,78.25493,75.708435,82.009155,2023
Canada,2023-07-28,253.23306,78.25493,75.708435,82.02031,2023
Canada,2023-07-29,253.23637,78.25493,75.708435,82.02338,2023
Canada,2023-07-30,253.23798,78.25493,75.708435,82.02487,2023
Canada,2023-07-31,253.23856,78.25493,75.708435,82.02543,2023
Canada,2023-08-01,253.24135,78.25493,75.708435,82.028046,2023
Canada,2023-08-02,253.25204,78.25493,75.708435,82.032036,2023
Canada,2023-08-03,253.25467,78.25493,75.708435,82.0344,2023
Canada,2023-08-04,253.2599,78.25493,75.708435,82.05432,2023
Canada,2023-08-05,253.26326,78.25493,75.708435,82.057465,2023
Canada,2023-08-06,253.26471,78.25493,75.708435,82.05882,2023
Canada,2023-08-07,253.26534,78.25493,75.708435,82.05942,2023
Canada,2023-08-08,253.26614,78.25493,75.708435,82.060196,2023
Canada,2023-08-09,253.27556,78.25493,75.708435,82.06386,2023
Canada,2023-08-10,253.27943,78.25493,75.708435,82.06735,2023
Canada,2023-08-11,253.28564,78.25493,75.708435,82.07988,2023
Canada,2023-08-12,253.28983,78.25493,75.708435,82.08397,2023
Canada,2023-08-13,253.29184,78.25493,75.708435,82.086,2023
Canada,2023-08-14,253.29247,78.25493,75.708435,82.086685,2023
Canada,2023-08-15,253.29572,78.25493,75.708435,82.08989,2023
Canada,2023-08-16,253.31209,78.25493,75.708435,82.09501,2023
Canada,2023-08-17,253.31621,78.25493,75.708435,82.098755,2023
Canada,2023-08-18,253.32309,78.25493,75.708435,82.110565,2023
Canada,2023-08-19,253.32747,78.25493,75.708435,82.11473,2023
Canada,2023-08-20,253.3296,78.25493,75.708435,82.116776,2023
Canada,2023-08-21,253.33018,78.25493,75.708435,82.117516,2023
Canada,2023-08-22,253.33334,78.25493,75.708435,82.12044,2023
Canada,2023-08-23,253.34738,78.25493,75.708435,82.12516,2023
Canada,2023-08-24,253.35124,78.25493,75.708435,82.1286,2023
Canada,2023-08-25,253.35742,78.25493,75.708435,82.14074,2023
Canada,2023-08-26,253.36154,78.25493,75.708435,82.14478,2023
Canada,2023-08-27,253.36354,78.25493,75.708435,82.14678,2023
Canada,2023-08-28,253.36401,78.25493,75.708435,82.14735,2023
Canada,2023-08-29,253.36632,78.25493,75.708435,82.14949,2023
Canada,2023-08-30,253.3783,78.25493,75.708435,82.153595,2023
Canada,2023-08-31,253.38188,78.25493,75.708435,82.15672,2023
Canada,2023-09-01,253.388,78.25493,75.708435,82.1664,2023
Canada,2023-09-02,253.39124,78.25493,75.708435,82.16929,2023
Canada,2023-09-03,253.39294,78.25493,75.708435,82.17078,2023
Canada,2023-09-04,253.39331,78.25493,75.708435,82.17114,2023
Canada,2023-09-05,253.39365,78.25493,75.708435,82.171455,2023
Canada,2023-09-06,253.4012,78.25493,75.708435,82.17431,2023
Canada,2023-09-07,253.40405,78.25493,75.708435,82.17692,2023
