Entity,Day,Total confirmed deaths due to COVID-19 per million people,Year
Brazil,2023-01-01,3299.2488,2023
Brazil,2023-01-02,3299.2488,2023
Brazil,2023-01-03,3299.2488,2023
Brazil,2023-01-04,3299.8574,2023
Brazil,2023-01-05,3300.8608,2023
Brazil,2023-01-06,3301.902,2023
Brazil,2023-01-07,3302.6533,2023
Brazil,2023-01-08,3303.6519,2023
Brazil,2023-01-09,3303.7803,2023
Brazil,2023-01-10,3303.8325,2023
Brazil,2023-01-11,3304.308,2023
Brazil,2023-01-12,3304.6313,2023
Brazil,2023-01-13,3305.121,2023
Brazil,2023-01-14,3305.825,2023
Brazil,2023-01-15,3305.825,2023
Brazil,2023-01-16,3306.3098,2023
Brazil,2023-01-17,3306.3337,2023
Brazil,2023-01-18,3306.6523,2023
Brazil,2023-01-19,3307.1943,2023
Brazil,2023-01-20,3307.627,2023
Brazil,2023-01-21,3309.8713,2023
Brazil,2023-01-22,3310.3516,2023
Brazil,2023-01-23,3310.6655,2023
Brazil,2023-01-24,3310.6797,2023
Brazil,2023-01-25,3311.084,2023
Brazil,2023-01-26,3311.764,2023
Brazil,2023-01-27,3312.325,2023
Brazil,2023-01-28,3312.767,2023
Brazil,2023-01-29,3312.9858,2023
Brazil,2023-01-30,3313.0571,2023
Brazil,2023-01-31,3313.0667,2023
Brazil,2023-02-01,3313.6992,2023
Brazil,2023-02-02,3314.5645,2023
Brazil,2023-02-03,3315.1636,2023
Brazil,2023-02-04,3315.3918,2023
Brazil,2023-02-05,3315.8533,2023
Brazil,2023-02-06,3315.9246,2023
Brazil,2023-02-07,3315.9292,2023
Brazil,2023-02-08,3316.3,2023
Brazil,2023-02-09,3316.747,2023
Brazil,2023-02-10,3316.9849,2023
Brazil,2023-02-11,3317.161,2023
Brazil,2023-02-12,3317.3606,2023
Brazil,2023-02-13,3317.4175,2023
Brazil,2023-02-14,3317.4175,2023
Brazil,2023-02-15,3317.836,2023
Brazil,2023-02-16,3317.836,2023
Brazil,2023-02-17,3318.4636,2023
Brazil,2023-02-18,3319.0342,2023
Brazil,2023-02-19,3319.1912,2023
Brazil,2023-02-20,3319.234,2023
Brazil,2023-02-21,3319.234,2023
Brazil,2023-02-22,3319.2434,2023
