week of collection,variant,variant_aggregated,parent,proportions,conf.high,conf.low
2025-02-09,LP.8.1.1,LP.8.1.1*,LP.8.1,10.06333568,NA,NA
2025-02-09,Other,Other,Other,3.166783955,NA,NA
2025-02-09,KP.3.1.1,KP.3.1.1*,KP.3,18.85995778,NA,NA
2025-02-09,LF.7.7.2,LF.7.7.2,JN.1,2.39268121,NA,NA
2025-02-09,LP.8.1,LP.8.1*,LP.8.1,4.36312456,NA,NA
2025-02-09,MC.1,MC.1*,KP.3,6.966924701,NA,NA
2025-02-09,MC.1.2,MC.1.2,KP.3,3.800140746,NA,NA
2025-02-09,NP.1,NP.1,KP.3,4.433497537,NA,NA
2025-02-09,XEC,XEC*,XEC,28.92329346,NA,NA
2025-02-09,XEC.2,XEC.2*,XEC,5.770584096,NA,NA
2025-02-09,XEC.9,XEC.9,XEC,4.36312456,NA,NA
2025-02-09,JN.1,JN.1*,JN.1,5.137227305,NA,NA
2025-02-09,KP.3,KP.3*,KP.3,1.759324419,NA,NA
2025-02-23,LP.8.1.1,LP.8.1.1*,LP.8.1,14.1356256,NA,NA
2025-02-23,Other,Other,Other,3.438395415,NA,NA
2025-02-23,KP.3.1.1,KP.3.1.1*,KP.3,17.38299904,NA,NA
2025-02-23,LF.7.7.2,LF.7.7.2,JN.1,3.915950334,NA,NA
2025-02-23,LP.8.1,LP.8.1*,LP.8.1,3.342884432,NA,NA
2025-02-23,MC.1,MC.1*,KP.3,4.775549188,NA,NA
2025-02-23,MC.1.2,MC.1.2,KP.3,2.960840497,NA,NA
2025-02-23,NP.1,NP.1,KP.3,4.489016237,NA,NA
2025-02-23,XEC,XEC*,XEC,28.93982808,NA,NA
2025-02-23,XEC.2,XEC.2*,XEC,6.303724928,NA,NA
2025-02-23,XEC.9,XEC.9,XEC,1.814708691,NA,NA
2025-02-23,JN.1,JN.1*,JN.1,5.539637058,NA,NA
2025-02-23,KP.3,KP.3*,KP.3,2.960840497,NA,NA
2025-03-09,LP.8.1.1,LP.8.1.1*,LP.8.1,19.09090909,NA,NA
2025-03-09,Other,Other,Other,3.181818182,NA,NA
2025-03-09,KP.3.1.1,KP.3.1.1*,KP.3,14.39393939,NA,NA
2025-03-09,LF.7.7.2,LF.7.7.2,JN.1,5.303030303,NA,NA
2025-03-09,LP.8.1,LP.8.1*,LP.8.1,4.242424242,NA,NA
2025-03-09,MC.1,MC.1*,KP.3,3.939393939,NA,NA
2025-03-09,MC.1.2,MC.1.2,KP.3,2.727272727,NA,NA
2025-03-09,NP.1,NP.1,KP.3,3.636363636,NA,NA
2025-03-09,XEC,XEC*,XEC,27.72727273,NA,NA
2025-03-09,XEC.2,XEC.2*,XEC,4.090909091,NA,NA
