Entity,Day,Total confirmed cases of COVID-19 per million people
Brazil,2020-01-04,0
Brazil,2020-01-05,0
Brazil,2020-01-06,0
Brazil,2020-01-07,0
Brazil,2020-01-08,0
Brazil,2020-01-09,0
Brazil,2020-01-10,0
Brazil,2020-01-11,0
Brazil,2020-01-12,0
Brazil,2020-01-13,0
Brazil,2020-01-14,0
Brazil,2020-01-15,0
Brazil,2020-01-16,0
Brazil,2020-01-17,0
Brazil,2020-01-18,0
Brazil,2020-01-19,0
Brazil,2020-01-20,0
Brazil,2020-01-21,0
Brazil,2020-01-22,0
Brazil,2020-01-23,0
Brazil,2020-01-24,0
Brazil,2020-01-25,0
Brazil,2020-01-26,0
Brazil,2020-01-27,0
Brazil,2020-01-28,0
Brazil,2020-01-29,0
Brazil,2020-01-30,0
Brazil,2020-01-31,0
Brazil,2020-02-01,0
Brazil,2020-02-02,0
Brazil,2020-02-03,0
Brazil,2020-02-04,0
Brazil,2020-02-05,0
Brazil,2020-02-06,0
Brazil,2020-02-07,0
Brazil,2020-02-08,0
Brazil,2020-02-09,0
Brazil,2020-02-10,0
Brazil,2020-02-11,0
Brazil,2020-02-12,0
Brazil,2020-02-13,0
Brazil,2020-02-14,0
Brazil,2020-02-15,0
Brazil,2020-02-16,0
Brazil,2020-02-17,0
Brazil,2020-02-18,0
Brazil,2020-02-19,0
Brazil,2020-02-20,0
Brazil,2020-02-21,0
Brazil,2020-02-22,0
Brazil,2020-02-23,0
Brazil,2020-02-24,0
Brazil,2020-02-25,0
Brazil,2020-02-26,0
Brazil,2020-02-27,0.004754968
Brazil,2020-02-28,0.004754968
Brazil,2020-02-29,0.004754968
Brazil,2020-03-01,0.004754968
Brazil,2020-03-02,0.009509936
Brazil,2020-03-03,0.009509936
Brazil,2020-03-04,0.009509936
Brazil,2020-03-05,0.009509936
Brazil,2020-03-06,0.014264904
Brazil,2020-03-07,0.038039744
Brazil,2020-03-08,0.061814584
Brazil,2020-03-09,0.09034439
Brazil,2020-03-10,0.1188742
Brazil,2020-03-11,0.1188742
Brazil,2020-03-12,0.16166891
Brazil,2020-03-13,0.28529808
Brazil,2020-03-14,0.36613253
Brazil,2020-03-15,0.3994173
Brazil,2020-03-16,0.5753511
Brazil,2020-03-17,0.9509936
Brazil,2020-03-18,1.1126626
Brazil,2020-03-19,1.3836957
Brazil,2020-03-20,2.0351262
Brazil,2020-03-21,2.0351262
Brazil,2020-03-22,4.298491
Brazil,2020-03-23,4.298491
Brazil,2020-03-24,7.3511806
Brazil,2020-03-25,8.991645
Brazil,2020-03-26,10.465685
Brazil,2020-03-27,11.568837
Brazil,2020-03-28,13.860732
Brazil,2020-03-29,16.247726
Brazil,2020-03-30,18.55864
Brazil,2020-03-31,20.237144
Brazil,2020-04-01,21.772999
Brazil,2020-04-02,27.184153
Brazil,2020-04-03,32.504963
Brazil,2020-04-04,37.611797
Brazil,2020-04-05,43.06099
Brazil,2020-04-06,48.87156
Brazil,2020-04-07,52.922794
Brazil,2020-04-08,57.325893
Brazil,2020-04-09,65.22389
Brazil,2020-04-10,75.732376
Brazil,2020-04-11,84.90946
Brazil,2020-04-12,93.37806
Brazil,2020-04-13,98.55622
Brazil,2020-04-14,105.41289
Brazil,2020-04-15,111.4089
Brazil,2020-04-16,120.12
Brazil,2020-04-17,134.66069
Brazil,2020-04-18,144.6699
Brazil,2020-04-19,160.15683
Brazil,2020-04-20,174.02707
Brazil,2020-04-21,183.79854
Brazil,2020-04-22,192.96135
Brazil,2020-04-23,204.83926
Brazil,2020-04-24,217.57307
