Entity,Day,"People vaccinated (cumulative, per hundred)"
Brazil,2021-01-17,0.00005325564
Brazil,2021-01-18,0.00052732596
Brazil,2021-01-19,0.0064320453
Brazil,2021-01-20,0.050318975
Brazil,2021-01-21,0.09210326
Brazil,2021-01-22,0.21980743
Brazil,2021-01-23,0.2725871
Brazil,2021-01-24,0.29193315
Brazil,2021-01-25,0.38123384
Brazil,2021-01-26,0.4972489
Brazil,2021-01-27,0.6312439
Brazil,2021-01-28,0.7432481
Brazil,2021-01-29,0.9147669
Brazil,2021-01-30,0.97311515
Brazil,2021-01-31,0.9909919
Brazil,2021-02-01,1.0901006
Brazil,2021-02-02,1.1990622
Brazil,2021-02-03,1.3324058
Brazil,2021-02-04,1.462108
Brazil,2021-02-05,1.6164138
Brazil,2021-02-06,1.6804076
Brazil,2021-02-07,1.7022072
Brazil,2021-02-08,1.800512
Brazil,2021-02-09,1.9351184
Brazil,2021-02-10,2.0570347
Brazil,2021-02-11,2.1807568
Brazil,2021-02-12,2.352158
Brazil,2021-02-13,2.3977938
Brazil,2021-02-14,2.413674
Brazil,2021-02-15,2.5316956
Brazil,2021-02-16,2.5324993
Brazil,2021-02-17,2.6071134
Brazil,2021-02-18,2.6820316
Brazil,2021-02-19,2.737131
Brazil,2021-02-20,2.7663965
Brazil,2021-02-21,2.7850227
Brazil,2021-02-22,2.854347
Brazil,2021-02-23,2.9081774
Brazil,2021-02-24,2.9490573
Brazil,2021-02-25,3.0178683
Brazil,2021-02-26,3.0611703
Brazil,2021-02-27,3.0995867
Brazil,2021-02-28,3.1107981
Brazil,2021-03-01,3.2363706
Brazil,2021-03-02,3.3827884
Brazil,2021-03-03,3.527165
Brazil,2021-03-04,3.6618702
Brazil,2021-03-05,3.78445
Brazil,2021-03-06,3.871497
Brazil,2021-03-07,3.9122312
Brazil,2021-03-08,4.044084
Brazil,2021-03-09,4.167514
Brazil,2021-03-10,4.285792
Brazil,2021-03-11,4.421412
Brazil,2021-03-12,4.5398793
Brazil,2021-03-13,4.598038
Brazil,2021-03-14,4.6209774
Brazil,2021-03-15,4.7967105
Brazil,2021-03-16,4.9463024
Brazil,2021-03-17,5.0999284
Brazil,2021-03-18,5.2569723
Brazil,2021-03-19,5.472731
Brazil,2021-03-20,5.5822525
Brazil,2021-03-21,5.6196504
Brazil,2021-03-22,5.8556705
Brazil,2021-03-23,6.0948286
Brazil,2021-03-24,6.3889523
Brazil,2021-03-25,6.7059
Brazil,2021-03-26,7.0986295
Brazil,2021-03-27,7.266603
Brazil,2021-03-28,7.376845
Brazil,2021-03-29,7.767373
Brazil,2021-03-30,8.081156
Brazil,2021-03-31,8.438039
Brazil,2021-04-01,8.862798
Brazil,2021-04-02,8.9872875
Brazil,2021-04-03,9.140162
Brazil,2021-04-04,9.277101
Brazil,2021-04-05,9.536705
Brazil,2021-04-06,9.9141655
Brazil,2021-04-07,10.24148
Brazil,2021-04-08,10.578193
Brazil,2021-04-09,10.790594
